question,rewritten,expected_source,predicted_sources,generated_sources,is_correct,answer
In which direction were they headed after leaving the commotion?,"Here is the rewritten standalone question:

What was the direction of their travel after they left the commotion?",A SCANDAL IN BOHEMIA.txt#chunk=108,"['A SCANDAL IN BOHEMIA.txt#chunk=72', 'A SCANDAL IN BOHEMIA.txt#chunk=82', 'A SCANDAL IN BOHEMIA.txt#chunk=99', 'A SCANDAL IN BOHEMIA.txt#chunk=123', 'A SCANDAL IN BOHEMIA.txt#chunk=108', 'A SCANDAL IN BOHEMIA.txt#chunk=100', 'A SCANDAL IN BOHEMIA.txt#chunk=121', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",[],True,They drove away in different directions.
What convinced Holmes that the photograph was of great value to Irene Adler?,What did Holmes see in the photograph that made him realize its significance to Irene Adler?,A SCANDAL IN BOHEMIA.txt#chunk=113,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=133', 'A SCANDAL IN BOHEMIA.txt#chunk=131', 'A SCANDAL IN BOHEMIA.txt#chunk=123', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=100', 'A SCANDAL IN BOHEMIA.txt#chunk=118', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",[],False,[Irene Adler#chunk=3] The photograph was of Irene Adler herself in evening dress.
What did Irene Adler do when she thought there was a fire?,What actions did Irene Adler take in response to the perceived fire?,A SCANDAL IN BOHEMIA.txt#chunk=113,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=78', 'A SCANDAL IN BOHEMIA.txt#chunk=49', 'A SCANDAL IN BOHEMIA.txt#chunk=99', 'A SCANDAL IN BOHEMIA.txt#chunk=100', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=60', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",[],False,"I don't know.

There is no mention of a perceived fire in the provided context."
How did Holmes describe the alarm of fire?,"Here is the rewritten standalone question:

What was Holmes' description of the alarm of fire?",A SCANDAL IN BOHEMIA.txt#chunk=113,"['A SCANDAL IN BOHEMIA.txt#chunk=106', 'A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=113', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=124', 'A SCANDAL IN BOHEMIA.txt#chunk=107', 'A SCANDAL IN BOHEMIA.txt#chunk=38', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",['The Red-Headed League 5.txt#chunk=3'],True,"[The Red-Headed League 5.txt#chunk=3]

Holmes described the alarm of fire as ""admirably done."" The smoke and shouting were enough to shake nerves of steel."
Where exactly was the photograph hidden?,Where was the photograph taken?,A SCANDAL IN BOHEMIA.txt#chunk=113,"['A SCANDAL IN BOHEMIA.txt#chunk=113', 'A SCANDAL IN BOHEMIA.txt#chunk=127', 'A SCANDAL IN BOHEMIA.txt#chunk=67', 'A SCANDAL IN BOHEMIA.txt#chunk=123', 'A SCANDAL IN BOHEMIA.txt#chunk=27', 'A SCANDAL IN BOHEMIA.txt#chunk=53', 'A SCANDAL IN BOHEMIA.txt#chunk=55', 'A SCANDAL IN BOHEMIA.txt#chunk=26']",[],True,"I don't know. The context does not provide information about where the photograph was taken. It only mentions that it is of Irene Adler herself in evening dress, but there is no mention of the location where the photograph was taken."
What moment allowed Holmes to catch a glimpse of the photograph’s hiding place?,What moment or event did Holmes witness that revealed the location where the photograph was being concealed?,A SCANDAL IN BOHEMIA.txt#chunk=113,"['A SCANDAL IN BOHEMIA.txt#chunk=128', 'A SCANDAL IN BOHEMIA.txt#chunk=9', 'A SCANDAL IN BOHEMIA.txt#chunk=91', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=131', 'A SCANDAL IN BOHEMIA.txt#chunk=107', 'A SCANDAL IN BOHEMIA.txt#chunk=93', 'A SCANDAL IN BOHEMIA.txt#chunk=122']","[""The King's photograph 1.txt#chunk=2""]",False,"Holmes witnessed a false alarm of fire in Briony Lodge, which caused a commotion and allowed him to slip through the crowd and find the location where the photograph was being concealed. [The King's photograph 1.txt#chunk=2]"
Who greeted Holmes on the street at night?,Who was it that greeted Sherlock Holmes on the street at night?,A SCANDAL IN BOHEMIA.txt#chunk=117,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=40', 'A SCANDAL IN BOHEMIA.txt#chunk=107', 'A SCANDAL IN BOHEMIA.txt#chunk=55', 'A SCANDAL IN BOHEMIA.txt#chunk=53', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=117']",['The Adventures of Sherlock Holmes 1.txt#chunk=3'],True,A slim youth in an ulster. [The Adventures of Sherlock Holmes 1.txt#chunk=3]
What was unusual about the way the greeting was delivered?,What made the greeting stand out or different from what is typically expected?,A SCANDAL IN BOHEMIA.txt#chunk=117,"['A SCANDAL IN BOHEMIA.txt#chunk=32', 'A SCANDAL IN BOHEMIA.txt#chunk=92', 'A SCANDAL IN BOHEMIA.txt#chunk=80', 'A SCANDAL IN BOHEMIA.txt#chunk=12', 'A SCANDAL IN BOHEMIA.txt#chunk=79', 'A SCANDAL IN BOHEMIA.txt#chunk=34', 'A SCANDAL IN BOHEMIA.txt#chunk=107', 'A SCANDAL IN BOHEMIA.txt#chunk=117']",[],True,"The greeting appeared to come from a slim youth in an ulster who had hurried by, which was unusual because it seemed to be a familiar voice that Holmes recognized."
How did Holmes react to the mysterious voice?,"Here is the rewritten standalone question:

What was Sherlock Holmes' reaction to the mysterious voice?",A SCANDAL IN BOHEMIA.txt#chunk=117,"['A SCANDAL IN BOHEMIA.txt#chunk=29', 'A SCANDAL IN BOHEMIA.txt#chunk=35', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=40', 'A SCANDAL IN BOHEMIA.txt#chunk=107', 'A SCANDAL IN BOHEMIA.txt#chunk=121', 'A SCANDAL IN BOHEMIA.txt#chunk=117']",[],True,"Sherlock Holmes stared down the dimly lit street and said, ""I've heard that voice before. Now, I wonder who the deuce that could have been."" [The Sign of Four#chunk=1]"
What was Holmes doing the next morning?,What did Sherlock Holmes do on the following day?,A SCANDAL IN BOHEMIA.txt#chunk=117,"['A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=9', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=40', 'A SCANDAL IN BOHEMIA.txt#chunk=31', 'A SCANDAL IN BOHEMIA.txt#chunk=99', 'A SCANDAL IN BOHEMIA.txt#chunk=53', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",[],False,I don't know. The context does not mention what Sherlock Holmes did on the following day after the events described.
Who entered Holmes’s apartment unexpectedly in the morning?,Who was it that entered Holmes's apartment unexpectedly in the morning?,A SCANDAL IN BOHEMIA.txt#chunk=117,"['A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=106', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=104', 'A SCANDAL IN BOHEMIA.txt#chunk=31', 'A SCANDAL IN BOHEMIA.txt#chunk=55', 'A SCANDAL IN BOHEMIA.txt#chunk=117', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",[],True,"I don't know. The context does not specify who entered Holmes's apartment unexpectedly in the morning, only that someone said ""Good-night"" to Holmes as he was leaving and then there was a loud and authoritative tap at the door."
What did the maid say about her mistress's travel plans?,What does the maid know about her mistress's upcoming trip?,A SCANDAL IN BOHEMIA.txt#chunk=121,"['A SCANDAL IN BOHEMIA.txt#chunk=94', 'A SCANDAL IN BOHEMIA.txt#chunk=115', 'A SCANDAL IN BOHEMIA.txt#chunk=65', 'A SCANDAL IN BOHEMIA.txt#chunk=51', 'A SCANDAL IN BOHEMIA.txt#chunk=119', 'A SCANDAL IN BOHEMIA.txt#chunk=84', 'A SCANDAL IN BOHEMIA.txt#chunk=121', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],True,The maid knows that her mistress and her husband left by the 5:15 train from Charing Cross for the Continent this morning. [A SCANDAL IN BOHEMIA 5.txt#chunk=3]
When and where did Irene Adler leave from?,"Here is the rewritten standalone question:

What was Irene Adler's departure location?",A SCANDAL IN BOHEMIA.txt#chunk=121,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=133', 'A SCANDAL IN BOHEMIA.txt#chunk=49', 'A SCANDAL IN BOHEMIA.txt#chunk=64', 'A SCANDAL IN BOHEMIA.txt#chunk=60', 'A SCANDAL IN BOHEMIA.txt#chunk=123', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=100']",[],False,"I don't know. The context does not mention Irene Adler's departure location, but it does describe her standing at the top of steps after a scuffle."
How did Holmes react to the news of her departure?,How did Holmes react to the news of her departure?,A SCANDAL IN BOHEMIA.txt#chunk=121,"['A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=99', 'A SCANDAL IN BOHEMIA.txt#chunk=31', 'A SCANDAL IN BOHEMIA.txt#chunk=122', 'A SCANDAL IN BOHEMIA.txt#chunk=130', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=121', 'A SCANDAL IN BOHEMIA.txt#chunk=44']",[],True,"Sherlock Holmes ""staggered back, white with chagrin and surprise."""
What did the King ask about after hearing the news?,What action did the King take immediately after hearing the news?,A SCANDAL IN BOHEMIA.txt#chunk=121,"['A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=52', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=131', 'A SCANDAL IN BOHEMIA.txt#chunk=122', 'A SCANDAL IN BOHEMIA.txt#chunk=53', 'A SCANDAL IN BOHEMIA.txt#chunk=121', 'A SCANDAL IN BOHEMIA.txt#chunk=48']",['The Sign of Four 5.txt#chunk=3'],True,"The King took a heavy chamois leather bag from under his cloak and laid it on the table.

[The Sign of Four 5.txt#chunk=3]"
What emotion did the King express when told “all is lost”?,"What was the King's emotional response when he heard ""all is lost""?",A SCANDAL IN BOHEMIA.txt#chunk=121,"['A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=131', 'A SCANDAL IN BOHEMIA.txt#chunk=132', 'A SCANDAL IN BOHEMIA.txt#chunk=53', 'A SCANDAL IN BOHEMIA.txt#chunk=130', 'A SCANDAL IN BOHEMIA.txt#chunk=121', 'A SCANDAL IN BOHEMIA.txt#chunk=48']",[],True,"The King spoke hoarsely, and said ""All is lost."" This suggests that he was emotionally distraught, but the specific emotion (e.g. sadness, despair) is not explicitly stated in the text.

However, it can be inferred from his reaction to Holmes' solution of the case later on: when Holmes says ""I am sorry that I have not been able to bring your Majesty's business to a more successful conclusion,"" the King responds with ""On the contrary, my dear sir... nothing could be more successful."" This suggests that he was relieved and grateful for the outcome.

Given this context, it is likely that the King's emotional response when he heard ""all is lost"" was one of despair or hopelessness."
Why did Irene Adler follow Holmes to his door?,"Here is the rewritten standalone question:

What led Irene Adler to track down Sherlock Holmes and show up at his doorstep?",A SCANDAL IN BOHEMIA.txt#chunk=126,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=78', 'A SCANDAL IN BOHEMIA.txt#chunk=133', 'A SCANDAL IN BOHEMIA.txt#chunk=64', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=100', 'A SCANDAL IN BOHEMIA.txt#chunk=50', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",[],False,"I don't know. The context does not mention Irene Adler tracking down Sherlock Holmes or showing up at his doorstep. It only mentions her involvement in a scandal with the King of Bohemia, and her interactions with him and others are described as taking place elsewhere."
What did Irene Adler confirm by following Holmes?,What was the significance of Irene Adler's actions in relation to Sherlock Holmes?,A SCANDAL IN BOHEMIA.txt#chunk=126,"['A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=101', 'A SCANDAL IN BOHEMIA.txt#chunk=78', 'A SCANDAL IN BOHEMIA.txt#chunk=133', 'A SCANDAL IN BOHEMIA.txt#chunk=49', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=100', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",[],False,"Irene Adler's actions were significant because she outwitted and defeated Sherlock Holmes by stealing a photograph that could ruin his reputation. This event had a lasting impact on Holmes, who would later refer to her as ""the woman"" with admiration and respect, acknowledging her exceptional wit and cunning."
How did Irene describe her action of saying good-night?,How did Irene describe her action of saying goodnight?,A SCANDAL IN BOHEMIA.txt#chunk=126,"['A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=78', 'A SCANDAL IN BOHEMIA.txt#chunk=65', 'A SCANDAL IN BOHEMIA.txt#chunk=123', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=84', 'A SCANDAL IN BOHEMIA.txt#chunk=100', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",[],False,"I don't know. The context does not mention Irene describing her action of saying goodnight. It was someone passing by who said ""Good-night, Mister Sherlock Holmes."""
Where did Irene go after her brief interaction with Holmes?,"Here's the rewritten question:

What happened to Irene after she interacted with Holmes?",A SCANDAL IN BOHEMIA.txt#chunk=126,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=78', 'A SCANDAL IN BOHEMIA.txt#chunk=133', 'A SCANDAL IN BOHEMIA.txt#chunk=64', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=100', 'A SCANDAL IN BOHEMIA.txt#chunk=118', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],False,Irene Adler married an English lawyer named Norton yesterday. [A SCANDAL IN BOHEMIA 5.txt#chunk=3]
To whom did Irene refer as her husband?,Who is Irene's husband?,A SCANDAL IN BOHEMIA.txt#chunk=126,"['A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=133', 'A SCANDAL IN BOHEMIA.txt#chunk=49', 'A SCANDAL IN BOHEMIA.txt#chunk=50', 'A SCANDAL IN BOHEMIA.txt#chunk=65', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=93', 'A SCANDAL IN BOHEMIA.txt#chunk=118']",[],False,"Irene Adler is married to Mr. Godfrey Norton, an English lawyer."
How did the King of Bohemia attempt to reward Holmes?,What was the King of Bohemia's initial intention in approaching Sherlock Holmes?,A SCANDAL IN BOHEMIA.txt#chunk=131,"['A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=133', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=40', 'A SCANDAL IN BOHEMIA.txt#chunk=121', 'A SCANDAL IN BOHEMIA.txt#chunk=117', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],False,"The King of Bohemia approached Sherlock Holmes because he wanted him to retrieve a compromising photograph from Irene Adler, his mistress. The photograph had been stolen by her and could lead to a great scandal affecting the kingdom of Bohemia. [A SCANDAL IN BOHEMIA 5.txt#chunk=3]"
What kind of ring did the King offer Holmes?,What type of ring did the King offer to Sherlock Holmes?,A SCANDAL IN BOHEMIA.txt#chunk=131,"['A SCANDAL IN BOHEMIA.txt#chunk=29', 'A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=131', 'A SCANDAL IN BOHEMIA.txt#chunk=40', 'A SCANDAL IN BOHEMIA.txt#chunk=37', 'A SCANDAL IN BOHEMIA.txt#chunk=53', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],True,An emerald snake ring. [A SCANDAL IN BOHEMIA 5.txt#chunk=3]
What did Holmes say he valued more than the ring?,What did Holmes value more than the ring?,A SCANDAL IN BOHEMIA.txt#chunk=131,"['A SCANDAL IN BOHEMIA.txt#chunk=29', 'A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=131', 'A SCANDAL IN BOHEMIA.txt#chunk=4', 'A SCANDAL IN BOHEMIA.txt#chunk=37', 'A SCANDAL IN BOHEMIA.txt#chunk=53', 'A SCANDAL IN BOHEMIA.txt#chunk=2']","[""The King's Necklace 1.txt#chunk=2""]",True,This photograph! [The King's Necklace 1.txt#chunk=2]
How did the King react to Holmes's request for the photograph?,What was the King's reaction when Holmes asked for the photograph?,A SCANDAL IN BOHEMIA.txt#chunk=131,"['A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=131', 'A SCANDAL IN BOHEMIA.txt#chunk=40', 'A SCANDAL IN BOHEMIA.txt#chunk=132', 'A SCANDAL IN BOHEMIA.txt#chunk=53', 'A SCANDAL IN BOHEMIA.txt#chunk=130', 'A SCANDAL IN BOHEMIA.txt#chunk=121', 'A SCANDAL IN BOHEMIA.txt#chunk=48']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],True,"The King stared at him in amazement and cried, ""Irene's photograph!"" [A SCANDAL IN BOHEMIA 5.txt#chunk=3]."
Whose photograph did Holmes ultimately request?,Who was the subject of the photograph that Holmes requested?,A SCANDAL IN BOHEMIA.txt#chunk=131,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=35', 'A SCANDAL IN BOHEMIA.txt#chunk=128', 'A SCANDAL IN BOHEMIA.txt#chunk=131', 'A SCANDAL IN BOHEMIA.txt#chunk=53', 'A SCANDAL IN BOHEMIA.txt#chunk=123', 'A SCANDAL IN BOHEMIA.txt#chunk=93', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],True,Irene Adler herself in evening dress. [A SCANDAL IN BOHEMIA 5.txt#chunk=3]
